applicant_id,name,email,phone,ip_address,university,department_applied,gpa,age,graduation_year,cover_letter_length,submission_time,ground_truth_fraud,fraud_type,is_duplicate_email,is_duplicate_phone,name_similarity_max,submissions_same_ip,min_gap_seconds_same_ip,gpa_invalid,age_invalid,grad_year_invalid,short_cover_letter,rule_based_flag,iso_pred,iso_anomaly,iso_score,cluster,kmeans_distance,kmeans_anomaly,votes,alert,alert_reason,pca1,pca2,alert_reason_short
APP00804,Saad Awan,saad.awan22@gmail.com,302724954,140.151.52.131,Karachi University,Software Engineering,2.44,20,2026,223,2026-08-01 12:26:51.477921,0,none,0,0,84.21052631578947,1,9999.0,0,0,0,0,0,1,0,-0.20029725857362835,0,0.9022583568961291,0,0,0,combination of weak signals,0.3596088181546398,-0.9060678505965346,combination of weak signals
DUP0161,Hassan Raza,hassan.raza1@hotmail.com,352305056,158.242.107.44,NUST,Finance,3.54,24,2025,196,2026-08-01 14:11:24.450302,1,duplicate_identity,0,0,100.0,4,11.0,0,0,0,0,1,-1,1,0.013095703990946284,0,3.5435836059005443,0,2,1,rapid submissions from same IP,-1.4201971736182835,1.211707870673124,rapid submissions from same IP
DUP0160,Hassan Raza,hassan.raza100@hotmail.com,303392808,158.242.107.44,NUST,Finance,3.54,24,2025,205,2026-08-01 14:11:35.299372,1,duplicate_identity,1,1,100.0,4,11.0,0,0,0,0,1,-1,1,0.05379938363912651,3,2.554778592301464,1,3,1,duplicate email; duplicate phone; rapid submissions from same IP,-2.5469716854842757,1.9785025646443313,duplicate email
DUP0162,Hassan Raza ,hassan.raza2@hotmail.com,303392808,158.242.107.44,NUST,Finance,3.54,24,2025,201,2026-08-01 14:14:33.215372,1,duplicate_identity,0,1,95.65217391304348,4,178.0,0,0,0,0,1,-1,1,0.024124181513021425,3,2.8634386268261904,1,3,1,duplicate phone; rapid submissions from same IP,-1.9224690438870635,1.5537730549457638,duplicate phone
DUP0163,Hassan Raza,hassan.raza3@yahoo.com,303392808,158.242.107.44,NUST,Finance,3.54,24,2025,202,2026-08-01 14:23:30.567255,1,duplicate_identity,0,1,100.0,4,537.0,0,0,0,0,1,1,0,-0.0005177243538729837,3,2.7562003090748357,1,2,1,duplicate phone,-1.851761613949066,1.459457491125066,duplicate phone
APP00270,Faizan Chaudhry,faizan.chaudhry272@gmail.com,335186600,178.34.179.66,NUST,Graphic Design,2.96,21,2026,304,2026-08-01 14:47:12.370076,0,none,0,0,86.66666666666667,1,9999.0,0,0,0,0,0,1,0,-0.12699913784930078,0,1.793251606427204,0,0,0,combination of weak signals,0.5455346941133377,-1.2568899402035054,combination of weak signals
APP00249,Maha Riaz,maha.riaz155@yahoo.com,307879264,7.119.177.163,Virtual University of Pakistan,Marketing,3.82,23,2026,214,2026-08-01 18:46:52.527651,0,none,0,0,100.0,1,9999.0,0,0,0,0,0,1,0,-0.22785775516209122,0,1.0761175822925273,0,0,0,combination of weak signals,0.20313945177323572,-0.7493084694171349,combination of weak signals
APP00332,Sana Mughal,sana.mughal387@gmail.com,308189168,72.135.66.42,Bahria University,Marketing,2.62,23,2024,253,2026-08-01 20:37:31.388283,0,none,0,0,100.0,1,9999.0,0,0,0,0,0,1,0,-0.21063645122839925,0,1.4024816722439704,0,0,0,combination of weak signals,0.3026583431782083,-0.9268942510574288,combination of weak signals
APP00534,Hamza Bhatti,hamza.bhatti125@outlook.com,307787429,128.74.234.238,UET Lahore,Software Engineering,3.14,25,2026,91,2026-08-01 22:58:36.408082,0,none,0,0,80.0,1,9999.0,0,0,0,0,0,1,0,-0.1654557137999983,0,1.777794134537544,0,0,0,combination of weak signals,0.058376572142800925,-0.3358824278224386,combination of weak signals
APP00678,Tayyab Baig,tayyab.baig493@yahoo.com,357306753,53.204.94.212,Virtual University of Pakistan,Marketing,3.3,19,2025,53,2026-08-01 23:41:37.940452,0,none,0,0,78.26086956521739,1,9999.0,0,0,0,0,0,1,0,-0.09821843757635068,0,2.3276230469115435,0,0,0,combination of weak signals,-0.023885822967005838,-0.17560249235477882,combination of weak signals
APP00765,Zainab Dar,zainab.dar68@hotmail.com,352492738,93.170.139.38,FAST-NUCES,Marketing,3.23,21,2026,148,2026-08-01 23:55:57.298802,0,none,0,0,100.0,1,9999.0,0,0,0,0,0,1,0,-0.230281731864809,0,1.1165804161451849,0,0,0,combination of weak signals,0.03472286631866674,-0.4487786851027914,combination of weak signals
APP00860,Danish Siddiqui,danish.siddiqui673@yahoo.com,357240525,38.160.62.3,UET Lahore,Graphic Design,3.16,20,2025,275,2026-08-02 00:22:38.199758,0,none,0,0,100.0,1,9999.0,0,0,0,0,0,1,0,-0.18915185038628768,0,1.6448561341229242,0,0,0,combination of weak signals,0.35879720499639794,-1.0270708458288769,combination of weak signals
APP00330,Danish Soomro,danish.soomro710@outlook.com,307401894,100.213.160.248,IBA Karachi,Data Science,3.12,23,2026,209,2026-08-02 01:31:16.436949,0,none,0,0,76.92307692307692,1,9999.0,0,0,0,0,0,1,0,-0.17831806477667295,0,1.526609650183697,0,0,0,combination of weak signals,0.38550107330587247,-0.8957551301406572,combination of weak signals
INC005,Ibrahim Raza,ibrahim.raza664@yahoo.com,396701061,117.221.10.103,Bahria University,Marketing,4.8,55,2030,210,2026-08-02 02:27:26.604602,1,inconsistent_data,0,0,91.66666666666666,1,9999.0,1,1,1,0,1,-1,1,0.11650678163335781,2,0.7384832531425156,1,3,1,GPA out of valid range; implausible age; implausible graduation year,8.632635327820445,5.89623722758874,GPA out of valid range
APP00845,Kiran Iqbal,kiran.iqbal901@outlook.com,346157260,215.212.123.2,Karachi University,Data Science,3.97,24,2025,241,2026-08-02 02:55:11.009880,0,none,0,0,100.0,1,9999.0,0,0,0,0,0,1,0,-0.21879116264476384,0,1.2844857338438889,0,0,0,combination of weak signals,0.2720371458228321,-0.8722524720911845,combination of weak signals
INC019,Fahad Mughal,fahad.mughal187@yahoo.com,303398377,163.17.121.42,Karachi University,Marketing,4.8,60,2018,108,2026-08-02 03:22:49.370716,1,inconsistent_data,0,0,100.0,1,9999.0,1,1,1,0,1,-1,1,0.096181838679264,2,1.2545010772560141,1,3,1,GPA out of valid range; implausible age; implausible graduation year,8.301894986440509,6.421797429139028,GPA out of valid range
APP00660,Laiba Yousaf,laiba.yousaf397@outlook.com,321141455,32.236.189.240,FAST-NUCES,Finance,3.82,21,2026,140,2026-08-02 04:30:59.001129,0,none,0,0,100.0,1,9999.0,0,0,0,0,0,1,0,-0.22738221147985288,0,1.1755972573897544,0,0,0,combination of weak signals,0.014308734748415956,-0.4123508324586286,combination of weak signals
APP00724,Yasir Niazi,yasir.niazi74@hotmail.com,353292713,184.240.100.40,FAST-NUCES,Data Science,2.27,25,2026,197,2026-08-02 04:52:14.920857,0,none,0,0,100.0,1,9999.0,0,0,0,0,0,1,0,-0.23148095930656348,0,1.0028292545666444,0,0,0,combination of weak signals,0.15975942218645278,-0.6718992825482889,combination of weak signals
